ideCadastro,txNomeParlamentar,sgPartido,sgUF,vlrLiquido
224117,Gabriel Mota,REPUBLICANOS,RR,723574.7300000001
230768,Zé Adriano,PP,AC,685050.7900000005
220608,Cristiane Lopes,UNIÃO,RO,684313.2200000004
74044,Wilson Santiago,REPUBLICANOS,PB,675710.5300000001
220590,Coronel Ulysses,UNIÃO,AC,675191.68
220538,Albuquerque,REPUBLICANOS,RR,672745.1000000001
220578,Josenildo,PDT,AP,670813.6000000004
123756,Antônia Lúcia,REPUBLICANOS,AC,670673.4499999995
141459,João Maia,PP,RN,666162.86
220676,Andreia Siqueira,MDB,PA,662810.1199999996
220609,Maurício Carvalho,UNIÃO,RO,661316.6599999995
160635,Ruy Carneiro,PODE,PB,657398.3200000002
73486,Pompeo de Mattos,PDT,RS,657063.7100000007
220551,Franciane Bayer,REPUBLICANOS,RS,653316.1299999999
191923,Flávio Nogueira,PT,PI,646882.7000000002
220592,Zezinho Barbary,PP,AC,644799.3999999996
178997,Moses Rodrigues,UNIÃO,CE,644744.6399999998
188097,Merlong Solano,PT,PI,644658.5900000002
220537,Helena Lima,MDB,RR,643412.6000000003
160629,Romero Rodrigues,PODE,PB,642709.72
204360,Silvia Cristina,PP,RO,641727.7199999993
204479,Nicoletti,UNIÃO,RR,641508.8900000004
220588,Roberto Duarte,REPUBLICANOS,AC,641121.7400000007
141408,Cleber Verde,MDB,MA,639430.5899999996
220584,Murilo Galdino,REPUBLICANOS,PB,638159.29
204488,Célio Studart,PSD,CE,638129.87
220591,Meire Serafim,UNIÃO,AC,634016.9700000006
209189,Joseildo Ramos,PT,BA,632890.2699999997
204557,Sidney Leite,PSD,AM,632005.3799999995
220589,Eduardo Velloso,UNIÃO,AC,630989.2100000001
204426,Carlos Veras,PT,PE,630908.2199999996
204473,General Girão,PL,RN,630733.16
220610,Dr. Fernando Máximo,UNIÃO,RO,630712.8699999994
160591,Vinicius Gurgel,PL,AP,629140.0499999998
178954,Lucio Mosquini,MDB,RO,629089.5300000007
