id_deputado,nome,salario_mandato
204379,Acácio Favacho,1809065.5699999998
220714,Adail Filho,1809065.5699999998
221328,Adilson Barroso,1809065.5699999998
204560,Adolfo Viana,1809065.5699999998
204528,Adriana Ventura,1809065.5699999998
121948,Adriano do Baldy,1809065.5699999998
74646,Aécio Neves,1809065.5699999998
136811,Afonso Hamm,1809065.5699999998
178835,Afonso Motta,1809065.5699999998
160527,Aguinaldo Ribeiro,1809065.5699999998
204495,Airton Faleiro,1809065.5699999998
204549,AJ Albuquerque,1809065.5699999998
73579,Alberto Fraga,1809065.5699999998
220538,Albuquerque,1809065.5699999998
160559,Alceu Moreira,1809065.5699999998
204501,Alencar Santana,1809065.5699999998
178972,Alex Manente,1809065.5699999998
204571,Alex Santana,1809065.5699999998
220542,Alexandre Guimarães,1809065.5699999998
220554,Alexandre Lindenmeyer,1809065.5699999998
221148,Alfredinho,1809065.5699999998
220576,Alfredo Gaspar,1809065.5699999998
74057,Alice Portugal,1809065.5699999998
178927,Aliel Machado,1809065.5699999998
226708,Allan Garcês,1809065.5699999998
178937,Altineu Côrtes,1809065.5699999998
178881,Aluisio Mendes,1809065.5699999998
220707,Amanda Gentil,1809065.5699999998
204356,Amaro Neto,1809065.5699999998
220715,Amom Mandel,1809065.5699999998
107970,Ana Paula Leão,1809065.5699999998
220556,Ana Paula Lima,1809065.5699999998
220632,Ana Pimentel,1809065.5699999998
178831,André Abdon,1809065.5699999998
220657,André Fernandes,1809065.5699999998
204423,André Ferreira,1809065.5699999998
133439,André Figueiredo,1809065.5699999998
204515,André Janones,1809065.5699999998
220676,Andreia Siqueira,1809065.5699999998
123756,Antônia Lúcia,1809065.5699999998
220544,Antonio Andrade,1809065.5699999998
160553,Antonio Brito,1809065.5699999998
220638,Antonio Carlos Rodrigues,1809065.5699999998
220675,Antônio Doido,1809065.5699999998
220549,Any Ortiz,1809065.5699999998
73433,Arlindo Chinaglia,1809065.5699999998
141391,Arnaldo Jardim,1809065.5699999998
160541,Arthur Lira,1809065.5699999998
160600,Arthur Oliveira Maia,1809065.5699999998
74090,Átila Lins,1809065.5699999998
123086,Átila Lira,1809065.5699999998
160665,Augusto Coutinho,1809065.5699999998
160512,Aureo Ribeiro,1809065.5699999998
69871,Bacelar,1809065.5699999998
178975,Baleia Rossi,1809065.5699999998
220605,Bandeira de Mello,1809065.5699999998
220612,Bebeto,1809065.5699999998
73701,Benedita da Silva,1809065.5699999998
109429,Benes Leocádio,1809065.5699999998
204358,Beto Pereira,1809065.5699999998
220683,Beto Richa,1809065.5699999998
204374,Bia Kicis,1809065.5699999998
204388,Bibo Nunes,1809065.5699999998
160538,Bohn Gass,1809065.5699999998
